Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Bjørnholt;SN18500;17.08.2016;23,6
Oslo - Blindern;SN18700;17.08.2016;23,8
Oslo - Hovin;SN18210;17.08.2016;25,4
Tryvannshøgda;SN18950;17.08.2016;21,5
Trondheim - Voll;SN68860;17.08.2016;19,8
Stavanger - Våland;SN44640;17.08.2016;15,6
Bergen - Florida;SN50540;17.08.2016;17,6
Bjørnholt;SN18500;18.08.2016;21,9
Oslo - Blindern;SN18700;18.08.2016;23
Oslo - Hovin;SN18210;18.08.2016;23,8
Tryvannshøgda;SN18950;18.08.2016;19,6
Trondheim - Voll;SN68860;18.08.2016;23,3
Stavanger - Våland;SN44640;18.08.2016;20,1
Bergen - Florida;SN50540;18.08.2016;20,7
Bjørnholt;SN18500;19.08.2016;20,9
Oslo - Blindern;SN18700;19.08.2016;21,9
Oslo - Hovin;SN18210;19.08.2016;22,1
Tryvannshøgda;SN18950;19.08.2016;18,3
Trondheim - Voll;SN68860;19.08.2016;20,8
Stavanger - Våland;SN44640;19.08.2016;21,2
Bergen - Florida;SN50540;19.08.2016;20
Bjørnholt;SN18500;20.08.2016;19,2
Oslo - Blindern;SN18700;20.08.2016;20,8
Oslo - Hovin;SN18210;20.08.2016;21,3
Tryvannshøgda;SN18950;20.08.2016;17,3
Trondheim - Voll;SN68860;20.08.2016;19,9
Stavanger - Våland;SN44640;20.08.2016;19,1
Bergen - Florida;SN50540;20.08.2016;22,2
Bjørnholt;SN18500;21.08.2016;19,7
Oslo - Blindern;SN18700;21.08.2016;21,7
Oslo - Hovin;SN18210;21.08.2016;21,5
Tryvannshøgda;SN18950;21.08.2016;17,6
Trondheim - Voll;SN68860;21.08.2016;20,4
Stavanger - Våland;SN44640;21.08.2016;21,8
Bergen - Florida;SN50540;21.08.2016;24,5
Bjørnholt;SN18500;22.08.2016;19,1
Oslo - Blindern;SN18700;22.08.2016;20,6
Oslo - Hovin;SN18210;22.08.2016;20,6
Tryvannshøgda;SN18950;22.08.2016;15,9
Trondheim - Voll;SN68860;22.08.2016;20
Stavanger - Våland;SN44640;22.08.2016;18,1
Bergen - Florida;SN50540;22.08.2016;23,3
Bjørnholt;SN18500;23.08.2016;22,3
Oslo - Blindern;SN18700;23.08.2016;22,9
Oslo - Hovin;SN18210;23.08.2016;23,3
Tryvannshøgda;SN18950;23.08.2016;19,9
