Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
E18 Hjortnes;SN18690;01.01.2024;-3,2
Oslo - Blindern;SN18700;01.01.2024;-3,8
Oslo - Bygdøy Ii;SN18810;01.01.2024;-3,2
Oslo - Hovin;SN18210;01.01.2024;-4,1
Oslo - Sofienberg;SN18315;01.01.2024;-3,3
Stavanger - Våland;SN44640;01.01.2024;4,4
Lade;SN68050;01.01.2024;-2,5
Åsane;SN50810;01.01.2024;5,1
Skredderdalen;SN50570;01.01.2024;5,3
Bergen - Florida;SN50540;01.01.2024;7,1
Bergen - Florida Uib;SN50539;01.01.2024;7,1
Gullfjellet;SN50865;01.01.2024;2,2
Sædalen;SN50503;01.01.2024;4,5
Flesland;SN50500;01.01.2024;6
E18 Hjortnes;SN18690;02.01.2024;-3,9
Oslo - Blindern;SN18700;02.01.2024;-4,7
Oslo - Bygdøy Ii;SN18810;02.01.2024;-4
Oslo - Hovin;SN18210;02.01.2024;-4,8
Oslo - Sofienberg;SN18315;02.01.2024;-4,1
Stavanger - Våland;SN44640;02.01.2024;2,4
Lade;SN68050;02.01.2024;-4,1
Åsane;SN50810;02.01.2024;1,3
Skredderdalen;SN50570;02.01.2024;2,1
Bergen - Florida;SN50540;02.01.2024;4,2
Bergen - Florida Uib;SN50539;02.01.2024;4,2
Gullfjellet;SN50865;02.01.2024;-0,5
Sædalen;SN50503;02.01.2024;2,9
Flesland;SN50500;02.01.2024;3,1
E18 Hjortnes;SN18690;03.01.2024;-6,9
Oslo - Blindern;SN18700;03.01.2024;-7,7
Oslo - Bygdøy Ii;SN18810;03.01.2024;-7
Oslo - Hovin;SN18210;03.01.2024;-7,8
Oslo - Sofienberg;SN18315;03.01.2024;-7
Stavanger - Våland;SN44640;03.01.2024;-1,3
Lade;SN68050;03.01.2024;-7,2
Åsane;SN50810;03.01.2024;-1,1
Skredderdalen;SN50570;03.01.2024;-1,8
Bergen - Florida;SN50540;03.01.2024;0,6
Bergen - Florida Uib;SN50539;03.01.2024;0,6
Gullfjellet;SN50865;03.01.2024;-3,2
Sædalen;SN50503;03.01.2024;-1,3
Flesland;SN50500;03.01.2024;0,8
E18 Hjortnes;SN18690;04.01.2024;-7,6
Oslo - Blindern;SN18700;04.01.2024;-8,6
Oslo - Bygdøy Ii;SN18810;04.01.2024;-7,9
Oslo - Hovin;SN18210;04.01.2024;-8,5
Oslo - Sofienberg;SN18315;04.01.2024;-7,8
Stavanger - Våland;SN44640;04.01.2024;-2,3
Lade;SN68050;04.01.2024;-8,8
Åsane;SN50810;04.01.2024;-5,2
Skredderdalen;SN50570;04.01.2024;-4,2
Bergen - Florida;SN50540;04.01.2024;-2,1
Bergen - Florida Uib;SN50539;04.01.2024;-2,2
Gullfjellet;SN50865;04.01.2024;-6,4
Sædalen;SN50503;04.01.2024;-3,1
Flesland;SN50500;04.01.2024;-4,1
E18 Hjortnes;SN18690;05.01.2024;-11,2
Oslo - Blindern;SN18700;05.01.2024;-11,9
Oslo - Bygdøy Ii;SN18810;05.01.2024;-12,6
Oslo - Hovin;SN18210;05.01.2024;-12,3
Oslo - Sofienberg;SN18315;05.01.2024;-11,7
Stavanger - Våland;SN44640;05.01.2024;-5,9
Lade;SN68050;05.01.2024;-7,1
Åsane;SN50810;05.01.2024;-6,6
Skredderdalen;SN50570;05.01.2024;-5,4
Bergen - Florida;SN50540;05.01.2024;-3,1
Bergen - Florida Uib;SN50539;05.01.2024;-2,8
