Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Bjørnholt;SN18500;17.08.2025;24,6
Oslo - Blindern;SN18700;17.08.2025;26,2
Oslo - Bygdøy Ii;SN18810;17.08.2025;27,1
Oslo - Hovin;SN18210;17.08.2025;25,7
Tryvannshøgda;SN18950;17.08.2025;23,3
Trondheim - Voll;SN68860;17.08.2025;14,7
Trondheim - Voll Plu;SN68863;17.08.2025;14,8
Stavanger - Våland;SN44640;17.08.2025;21,1
Bergen - Florida;SN50540;17.08.2025;21,7
Bergen - Florida Uib;SN50539;17.08.2025;21,8
Bjørnholt;SN18500;18.08.2025;25,7
Oslo - Blindern;SN18700;18.08.2025;26,8
Oslo - Bygdøy Ii;SN18810;18.08.2025;26,5
Oslo - Hovin;SN18210;18.08.2025;26
Tryvannshøgda;SN18950;18.08.2025;22,7
Trondheim - Voll;SN68860;18.08.2025;14,5
Trondheim - Voll Plu;SN68863;18.08.2025;14,7
Stavanger - Våland;SN44640;18.08.2025;18
Bergen - Florida;SN50540;18.08.2025;18,7
Bergen - Florida Uib;SN50539;18.08.2025;18,8
Bjørnholt;SN18500;19.08.2025;19,6
Oslo - Blindern;SN18700;19.08.2025;20,7
Oslo - Bygdøy Ii;SN18810;19.08.2025;21,1
Oslo - Hovin;SN18210;19.08.2025;21,2
Tryvannshøgda;SN18950;19.08.2025;17,9
Trondheim - Voll;SN68860;19.08.2025;14,1
Trondheim - Voll Plu;SN68863;19.08.2025;14,2
Stavanger - Våland;SN44640;19.08.2025;19,4
Bergen - Florida;SN50540;19.08.2025;20,2
Bergen - Florida Uib;SN50539;19.08.2025;20,3
Bjørnholt;SN18500;20.08.2025;17,8
Oslo - Blindern;SN18700;20.08.2025;19,7
Oslo - Bygdøy Ii;SN18810;20.08.2025;19,7
Oslo - Hovin;SN18210;20.08.2025;18,3
Tryvannshøgda;SN18950;20.08.2025;15,4
Trondheim - Voll;SN68860;20.08.2025;11,8
Trondheim - Voll Plu;SN68863;20.08.2025;12
Stavanger - Våland;SN44640;20.08.2025;16,9
Bergen - Florida;SN50540;20.08.2025;18,1
Bergen - Florida Uib;SN50539;20.08.2025;18,1
Bjørnholt;SN18500;21.08.2025;17,3
Oslo - Blindern;SN18700;21.08.2025;19,3
Oslo - Bygdøy Ii;SN18810;21.08.2025;19
Oslo - Hovin;SN18210;21.08.2025;18,4
Tryvannshøgda;SN18950;21.08.2025;15,8
Trondheim - Voll;SN68860;21.08.2025;11,6
Trondheim - Voll Plu;SN68863;21.08.2025;11,8
Stavanger - Våland;SN44640;21.08.2025;17,5
Bergen - Florida;SN50540;21.08.2025;18
Bergen - Florida Uib;SN50539;21.08.2025;18
Bjørnholt;SN18500;22.08.2025;16,5
Oslo - Blindern;SN18700;22.08.2025;18,4
Oslo - Bygdøy Ii;SN18810;22.08.2025;18,6
Oslo - Hovin;SN18210;22.08.2025;17,4
Tryvannshøgda;SN18950;22.08.2025;15,5
Trondheim - Voll;SN68860;22.08.2025;10,5
